thing	spawn	25.3	-6.7	0	270
thing	spawn	44	-25.3	0	180
thing	spawn	4	-28	0	0
thing	spawn	22.7	-46.7	0	90
poly	door9_1.png	1	0	1	1	0	0	1	21.3	-5.3	0	24	-5.3	0	24	-5.3	2.7	21.3	-5.3	2.7
poly	door9_1.png	1	0	1	1	0	0	1	24	-5.3	0	26.7	-5.3	0	26.7	-5.3	2.7	24	-5.3	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	5.3	-8	0	8	-8	0	8	-8	2.7	5.3	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	8	-8	0	10.7	-8	0	10.7	-8	2.7	8	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	10.7	-8	0	13.3	-8	0	13.3	-8	2.7	10.7	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	13.3	-8	0	16	-8	0	16	-8	2.7	13.3	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	16	-8	0	18.7	-8	0	18.7	-8	2.7	16	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	21.3	-8	0	21.3	-5.3	0	21.3	-5.3	2.7	21.3	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	18.7	-8	0	21.3	-8	0	21.3	-8	2.7	18.7	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	26.7	-5.3	0	26.7	-8	0	26.7	-8	2.7	26.7	-5.3	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	26.7	-8	0	29.3	-8	0	29.3	-8	2.7	26.7	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	29.3	-8	0	32	-8	0	32	-8	2.7	29.3	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	32	-8	0	34.7	-8	0	34.7	-8	2.7	32	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	34.7	-8	0	37.3	-8	0	37.3	-8	2.7	34.7	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	37.3	-8	0	40	-8	0	40	-8	2.7	37.3	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	40	-8	0	42.7	-8	0	42.7	-8	2.7	40	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	5.3	-10.7	0	5.3	-8	0	5.3	-8	2.7	5.3	-10.7	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	42.7	-8	0	42.7	-10.7	0	42.7	-10.7	2.7	42.7	-8	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	5.3	-13.3	0	5.3	-10.7	0	5.3	-10.7	2.7	5.3	-13.3	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	42.7	-10.7	0	42.7	-13.3	0	42.7	-13.3	2.7	42.7	-10.7	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	5.3	-16	0	5.3	-13.3	0	5.3	-13.3	2.7	5.3	-16	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	10.7	-13.3	0	10.7	-16	0	10.7	-16	2.7	10.7	-13.3	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	13.3	-13.3	0	10.7	-13.3	0	10.7	-13.3	2.7	13.3	-13.3	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	16	-13.3	0	13.3	-13.3	0	13.3	-13.3	2.7	16	-13.3	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	13.3	-16	0	16	-16	0	16	-16	2.7	13.3	-16	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	18.7	-13.3	0	16	-13.3	0	16	-13.3	2.7	18.7	-13.3	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	16	-16	0	18.7	-16	0	18.7	-16	2.7	16	-16	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	21.3	-13.3	0	18.7	-13.3	0	18.7	-13.3	2.7	21.3	-13.3	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	21.3	-16	0	21.3	-13.3	0	21.3	-13.3	2.7	21.3	-16	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	18.7	-16	0	21.3	-16	0	21.3	-16	2.7	18.7	-16	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	26.7	-13.3	0	26.7	-16	0	26.7	-16	2.7	26.7	-13.3	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	29.3	-13.3	0	26.7	-13.3	0	26.7	-13.3	2.7	29.3	-13.3	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	26.7	-16	0	29.3	-16	0	29.3	-16	2.7	26.7	-16	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	32	-13.3	0	29.3	-13.3	0	29.3	-13.3	2.7	32	-13.3	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	29.3	-16	0	32	-16	0	32	-16	2.7	29.3	-16	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	34.7	-13.3	0	32	-13.3	0	32	-13.3	2.7	34.7	-13.3	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	32	-16	0	34.7	-16	0	34.7	-16	2.7	32	-16	2.7
poly	concrete.jpg	1	0	1	1	0	0	1	37.3	-13.3	0	34.7	-13.3	0	34.7	-13.3	2.7	37.3	-13.3	2.7
