#THING	TYPE	X	Y	Z 	ANGLE
thing	spawn	1	1	2	0
#POLY	INVISIBLE	BLC	DBS	ScX	ScY	AlX	AlY	Lit	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
poly	concr.jpg	0	0	1	1	0	0	1	0	0	0	5	0	0	5	5	0	0	5	0	
poly	concr.jpg	0	0	1	1	0	0	1	0	5	0	5	5	0	5	10	0	0	10	0	
poly	concr.jpg	0	0	1	1	0	0	1	0	10	0	5	10	0	5	15	0	0	15	0	
poly	concr.jpg	0	0	1	1	0	0	1	0	15	0	5	15	0	5	20	0	0	20	0	
poly	concr.jpg	0	0	1	1	0	0	1	0	20	0	5	20	0	5	25	0	0	25	0	
poly	concr.jpg	0	0	1	1	0	0	1	0	25	0	5	25	0	5	30	0	0	30	0	
poly	concr.jpg	0	0	1	1	0	0	1	0	30	0	5	30	0	5	35	0	0	35	0	
poly	concr.jpg	0	0	1	1	0	0	1	0	35	0	5	35	0	5	40	0	0	40	0	
poly	concr.jpg	0	0	1	1	0	0	1	0	40	0	5	40	0	5	45	0	0	45	0	
poly	concr.jpg	0	0	1	1	0	0	1	0	45	0	5	45	0	5	50	0	0	50	0	
poly	concr.jpg	0	0	1	1	0	0	1	5	0	0	10	0	0	10	5	0	5	5	0	
poly	concr.jpg	0	0	1	1	0	0	1	5	5	0	10	5	0	10	10	0	5	10	0	
poly	concr.jpg	1	0	1	1	0	0	1	5	10	0	10	10	0	10	15	0	5	15	0	
poly	concr.jpg	0	0	1	1	0	0	1	5	15	0	10	15	0	10	20	0	5	20	0	
poly	concr.jpg	0	0	1	1	0	0	1	5	20	0	10	20	0	10	25	0	5	25	0	
poly	concr.jpg	0	0	1	1	0	0	1	5	25	0	10	25	0	10	30	0	5	30	0	
poly	concr.jpg	0	0	1	1	0	0	1	5	30	0	10	30	0	10	35	0	5	35	0	
poly	concr.jpg	0	0	1	1	0	0	1	5	35	0	10	35	0	10	40	0	5	40	0	
poly	concr.jpg	0	0	1	1	0	0	1	5	40	0	10	40	0	10	45	0	5	45	0	
poly	concr.jpg	0	0	1	1	0	0	1	5	45	0	10	45	0	10	50	0	5	50	0	
poly	concr.jpg	0	0	1	1	0	0	1	10	0	0	15	0	0	15	5	0	10	5	0	
poly	concr.jpg	0	0	1	1	0	0	1	10	5	0	15	5	0	15	10	0	10	10	0	
poly	concr.jpg	0	0	1	1	0	0	1	10	10	0	15	10	0	15	15	0	10	15	0	
poly	concr.jpg	0	0	1	1	0	0	1	10	15	0	15	15	0	15	20	0	10	20	0	
poly	concr.jpg	0	0	1	1	0	0	1	10	20	0	15	20	0	15	25	0	10	25	0	
