# Use tabs with a width of 8 to view this file
#THING	TYPE	X	Y	Z 	ANGLE
thing	player	0	-5	2	90
thing	plant	128	128	0	0
#POLY	TEXTURE		BLC	DBS	ScX	ScY	AlX	AlY	Lit	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
poly	grass.bmp	1	0	16	16	0	0	1	-35	0	-35	-35	0	35	35	0	35	35	0	-35
poly	rock.bmp	1	0	1	1	0	0	1	10	10	-5	-10	10	-5	-10	-10	-5	10	-10	-5
poly	rock1.bmp	1	1	1	1	0	0	0.2	15	10	15	15	0	15	15	0	5	15	10	5
poly	cliff.bmp	1	1	1	1	0	0	1	5	1	-2	5	1	8	-8	1	4
# Build the rock construction at the edge of the map
poly	cliff.bmp	1	1	1	1	0	0	1	22	0	-19	33	2	-16	35	0	-15
poly	cliff.bmp	1	1	2	2	0	0	1	22	0	-19	33	2	-16	35	2	-29
poly	cliff.bmp	1	1	1	1	0	0	1	22	0	-19	21	0	-29	35	2	-29
poly	cliff.bmp	1	1	1	1	0	0	1	21	0	-29	29	3	-35	35	2	-29
poly	cliff.bmp	1	1	1	1	0	0	1	21	0	-29	21	3	-36	29	3	-35
poly	cliff.bmp	1	1	1	1	0	0	1	21	0	-29	15	2	-30	21	2	-32
poly	cliff.bmp	1	1	1	1	0	0	1	21	0	-29	21	2	-32	21	3	-36
poly	cliff.bmp	1	1	1	1	0	0	1	21	0	-29	14	0	-29	15	2	-30
poly	cliff.bmp	1	1	1	1	0	0	1	15	2	-30	21	2	-32	21	3	-36
poly	cliff.bmp	1	1	1	1	0	0	1	15	2	-30	21	3	-36	14	3	-34
poly	cliff.bmp	1	1	1	1	0	0	1	15	2	-30	14	3	-34	14	0	-29
poly	cliff.bmp	1	1	1	1	0	0	1	14	0	-29	15	0	-35	14	3	-34
